PUMA,TYPE,BLD,NP,RNTP,SNAP,RMSP,VEH,HINCP,TANF,WGTP,HHT,NOC,UTIL,SERIALNO,SS,POVPIP,INC_TYPE
101,married,trailer,7,600,1,4,2,15000,0,35,1,5,140,2.02E+12,0,42,variable
104,male head,apartment,1,700,0,1,1,15000,0,12,4,0,60,2.02E+12,0,121,variable
121,female head,trailer,2,400,0,3,1,15000,0,26,3,1,90,2.02E+12,0,91,variable
115,female head,apartment,1,900,0,4,1,15000,0,13,6,0,60,2.02E+12,0,121,variable
128,female head,apartment,1,610,0,3,1,15000,0,18,6,0,60,2.02E+12,0,121,variable
122,male head,house,5,700,1,6,1,15000,0,31,2,3,240,2.02E+12,0,62,variable
122,male head,apartment,1,590,0,3,1,15000,0,18,4,0,90,2.02E+12,0,120,variable
116,female head,apartment,2,590,1,3,1,15000,0,20,7,0,60,2.02E+12,0,72,variable
109,male head,house,1,500,0,4,1,15000,0,28,4,0,80,2.02E+12,0,121,variable
103,married,apartment,4,650,1,5,3,15000,0,13,1,2,130,2.02E+12,0,62,variable
109,female head,apartment,3,970,1,5,0,15000,0,11,3,2,120,2.02E+12,0,76,variable
122,married,apartment,2,610,0,3,1,15000,0,35,1,0,100,2.02E+12,0,92,variable
105,female head,apartment,2,850,0,4,1,15000,0,41,3,1,100,2.02E+12,0,90,variable
112,female head,trailer,3,1100,1,1,1,15000,0,14,3,2,260,2.02E+12,0,76,variable
118,female head,apartment,1,570,1,2,1,15000,0,7,6,0,60,2.02E+12,0,119,variable
118,female head,apartment,1,700,1,1,1,15000,0,25,6,0,800,2.02E+12,0,119,variable
115,female head,apartment,4,650,0,4,2,15000,0,31,7,0,120,2.02E+12,0,,variable
109,male head,apartment,5,790,1,3,1,15000,0,80,2,4,150,2.02E+12,0,52,variable
121,married,house,3,600,0,4,2,15000,0,26,1,1,230,2.02E+12,0,76,variable
114,female head,apartment,1,1000,0,4,1,15000,0,8,6,0,100,2.02E+12,0,119,variable
123,female head,house,5,500,1,4,2,15000,0,45,3,3,150,2.02E+12,0,119,variable
122,female head,house,2,400,1,8,1,15000,0,11,3,0,250,2.02E+12,0,92,variable
120,male head,apartment,1,830,0,4,1,15000,0,9,4,0,130,2.02E+12,0,118,variable
116,married,apartment,4,790,0,4,1,15000,0,11,1,2,0,2.02E+12,0,61,variable
123,married,house,7,650,0,4,3,15000,0,19,1,5,260,2.02E+12,0,41,variable
116,male head,house,1,1200,0,3,1,15000,0,48,4,0,0,2.02E+12,0,118,variable
118,married,apartment,4,680,0,2,0,15000,0,16,1,2,180,2.02E+12,0,60,variable
117,female head,apartment,2,600,1,5,0,15000,0,10,7,0,700,2.02E+12,0,119,variable
108,female head,apartment,1,900,0,4,1,15000,0,20,6,0,70,2.02E+12,0,119,variable
103,male head,apartment,1,700,0,1,1,15000,0,11,4,0,60,2.02E+12,0,119,variable
110,female head,apartment,2,880,1,5,0,15000,0,83,3,1,100,2.02E+12,0,89,variable
116,male head,apartment,1,690,0,1,1,15000,0,27,4,0,140,2.02E+12,0,117,variable
108,married,apartment,3,1200,0,3,1,15000,0,20,1,1,150,2018HU0001707,0,76,variable
106,male head,house,1,800,0,4,1,15000,0,20,4,0,400,2018HU0005608,0,117,variable
103,female head,apartment,2,880,0,3,3,15000,0,18,3,0,80,2018HU0040826,0,89,variable
101,female head,house,5,1100,1,6,1,15000,7000,45,3,3,410,2018HU0173475,0,50,variable
118,married,trailer,2,650,0,4,0,15000,0,7,1,0,0,2018HU0255076,0,90,variable
116,male head,apartment,1,950,0,4,0,15000,0,8,4,0,250,2018HU0395875,0,116,variable
106,married,apartment,4,830,0,4,2,15000,0,14,1,2,170,2018HU0460844,0,59,variable
114,female head,apartment,1,800,0,2,1,15000,0,21,6,0,100,2018HU0595129,0,115,variable
122,male head,apartment,1,430,0,3,1,15000,0,33,4,0,60,2018HU0624275,0,117,variable
104,married,house,3,600,1,5,2,15000,0,9,1,1,90,2018HU0666388,0,75,variable
115,male head,apartment,1,840,0,3,1,15000,0,24,4,0,60,2018HU0725379,0,117,variable
118,female head,trailer,1,550,0,3,1,15000,0,73,6,0,70,2018HU0788217,0,115,variable
116,male head,apartment,1,850,0,2,1,15000,0,34,4,0,0,2018HU0829291,0,115,variable
118,male head,apartment,2,530,0,5,1,15000,0,11,5,0,180,2018HU0829434,0,115,variable
110,female head,apartment,1,1100,0,5,1,15000,0,21,6,0,150,2018HU1008662,0,115,variable
109,female head,apartment,1,1100,0,3,1,15000,0,21,6,0,60,2018HU1122491,0,117,variable
116,married,apartment,2,570,1,2,0,15000,0,16,1,0,0,2018HU1122507,0,90,variable
115,male head,apartment,1,520,0,1,1,15000,0,27,4,0,180,2018HU1234656,0,117,variable
118,married,apartment,5,1100,0,2,2,15000,0,15,1,2,160,2018HU1317698,0,49,variable
118,female head,apartment,2,680,0,4,0,15000,0,28,3,1,160,2018HU1345595,0,87,variable
110,male head,apartment,2,1100,0,4,3,15000,0,26,5,0,120,2018HU1355109,0,76,variable
119,female head,apartment,1,670,1,7,1,15000,0,21,6,0,100,2018HU1390919,0,115,variable
118,female head,house,2,970,0,3,1,15000,0,39,3,1,0,2018HU1393729,0,88,variable
115,male head,apartment,1,700,0,3,0,15000,0,57,4,0,200,2019HU0110508,0,113,variable
121,married,apartment,4,670,0,4,1,15000,0,32,1,2,30,2019HU0146409,0,57,variable
116,married,apartment,6,870,1,4,1,15000,0,69,1,4,90,2019HU0171430,0,44,variable
119,female head,house,2,1000,0,3,1,15000,0,11,7,0,100,2019HU0186338,0,76,variable
109,female head,apartment,3,1100,0,6,3,15000,0,45,7,0,100,2019HU0246059,0,37,variable
109,male head,apartment,1,700,1,3,1,15000,0,27,4,0,80,2019HU0451862,0,113,variable
118,male head,apartment,1,750,0,3,1,15000,0,9,4,0,150,2019HU0515198,0,113,variable
112,male head,apartment,1,1400,0,4,1,15000,0,21,4,0,200,2019HU0523136,0,114,variable
110,male head,apartment,1,1500,0,4,1,15000,0,18,4,0,160,2019HU0537914,0,113,variable
119,female head,apartment,3,800,0,4,1,15000,0,6,3,2,120,2019HU0587467,0,73,variable
102,married,house,4,670,1,4,2,15000,0,13,1,2,50,2019HU0751334,0,58,variable
118,male head,apartment,1,720,0,3,2,15000,0,6,4,0,120,2019HU0830616,0,114,variable
116,male head,apartment,1,810,0,4,1,15000,0,18,4,0,50,2019HU0857279,0,114,variable
118,married,trailer,3,680,0,4,2,15000,0,29,1,1,140,2019HU0866263,0,74,variable
116,female head,apartment,2,700,0,3,1,15000,0,27,7,0,100,2019HU0893586,0,114,variable
103,female head,apartment,1,680,0,2,0,15000,0,18,6,0,0,2019HU0967123,0,124,variable
103,female head,house,2,1100,0,4,1,15000,0,13,3,1,100,2019HU0998401,0,85,variable
100,male head,house,3,2000,0,4,3,15000,0,18,5,0,90,2019HU1208035,0,91,variable
115,male head,apartment,1,860,0,3,0,15000,0,81,4,0,180,2019HU1241770,0,113,variable
105,female head,apartment,1,870,0,3,1,15000,0,10,6,0,70,2019HU0185565,10000,114,variable
102,female head,apartment,1,1500,0,2,0,15000,0,12,6,0,0,2.02E+12,15000,132,fixed
122,female head,apartment,1,750,0,4,1,15000,0,19,6,0,0,2.02E+12,15000,121,fixed
101,male head,apartment,1,500,1,4,2,15000,0,17,4,0,90,2.02E+12,15000,120,fixed
118,married,house,3,650,1,4,1,15000,0,6,1,0,210,2.02E+12,15000,80,fixed
122,male head,apartment,1,730,0,5,1,15000,0,18,4,0,0,2.02E+12,15000,129,fixed
116,male head,apartment,1,580,1,2,0,15000,0,11,4,0,0,2018HU0561648,15000,115,fixed
116,female head,apartment,1,40,1,4,0,15000,0,14,6,0,420,2018HU1001931,15000,127,fixed
102,married,apartment,2,760,0,5,2,15000,0,14,1,0,180,2018HU1071271,15000,100,fixed
101,male head,apartment,1,710,0,3,1,15000,0,26,4,0,60,2019HU0179537,15000,114,fixed
115,female head,apartment,1,350,1,3,1,15000,0,25,6,0,0,2019HU0455756,15000,122,fixed
103,female head,apartment,1,560,0,3,0,15001,0,13,6,0,110,2.02E+12,15000,132,variable
111,female head,house,1,940,0,4,1,15020,0,11,6,0,100,2019HU1385786,0,114,variable
110,male head,apartment,1,870,0,3,0,15060,40,17,4,0,0,2.02E+12,15000,131,variable
123,married,house,8,700,1,6,2,15100,0,33,1,5,130,2.02E+12,0,37,variable
103,female head,apartment,2,590,1,2,1,15100,0,21,3,1,60,2019HU0219245,0,86,variable
123,female head,apartment,1,770,1,2,0,15100,100,9,6,0,180,2019HU0392698,0,113,variable
105,married,house,6,1800,0,9,1,15100,0,14,1,4,160,2019HU1325643,2600,44,variable
119,male head,apartment,1,520,1,3,2,15100,0,12,4,0,0,2.02E+12,7200,132,variable
117,female head,apartment,1,940,0,1,0,15100,0,21,6,0,0,2018HU0900756,8900,128,variable
114,female head,apartment,1,590,0,2,1,15100,0,10,6,0,60,2018HU0604037,11500,127,variable
104,female head,house,1,350,1,4,0,15100,0,21,6,0,50,2.02E+12,15100,132,fixed
114,female head,apartment,1,1400,0,4,0,15100,0,13,6,0,0,2019HU1079008,15100,123,fixed
114,female head,apartment,3,1000,0,5,1,15160,0,51,3,0,100,2019HU0517925,2160,73,variable
123,male head,house,4,890,0,6,3,15200,0,8,2,1,250,2.02E+12,0,59,variable
103,female head,apartment,2,600,0,4,1,15200,0,16,3,0,100,2.02E+12,0,93,variable
104,male head,apartment,1,1600,0,2,1,15200,0,36,4,0,0,2.02E+12,1400,131,variable
116,male head,apartment,1,900,0,4,0,15200,0,17,4,0,150,2.02E+12,7200,123,variable
103,female head,apartment,1,770,1,4,0,15200,0,12,6,0,90,2.02E+12,11300,133,variable
116,married,house,3,630,1,4,0,15200,0,38,1,0,230,2019HU0474745,12900,76,variable
101,female head,apartment,1,540,1,3,1,15200,1200,13,6,0,90,2.02E+12,14000,130,variable
128,female head,apartment,1,490,1,3,1,15200,0,14,6,0,20,2.02E+12,15200,123,fixed
116,female head,apartment,1,920,0,5,1,15200,0,10,6,0,140,2.02E+12,15200,130,fixed
117,female head,apartment,1,400,1,3,0,15200,0,37,6,0,0,2.02E+12,15200,130,fixed
116,male head,apartment,2,810,0,4,1,15200,0,14,2,1,160,2019HU0363170,15200,86,fixed
102,male head,apartment,1,770,0,3,2,15210,0,11,4,0,50,2.02E+12,0,121,variable
115,female head,apartment,1,720,0,4,1,15240,0,25,6,0,60,2.02E+12,240,121,variable
121,female head,house,5,660,0,10,4,15250,0,37,3,3,400,2.02E+12,0,54,variable
119,female head,apartment,3,720,1,3,1,15260,260,15,3,2,70,2.02E+12,0,80,variable
112,female head,apartment,1,1300,1,4,0,15280,280,12,6,0,230,2019HU1232103,15000,125,variable
106,female head,apartment,2,1100,0,4,1,15300,0,15,3,1,60,2.02E+12,0,90,variable
125,male head,apartment,1,640,0,1,1,15300,0,13,4,0,110,2019HU1018639,0,115,variable
109,female head,apartment,2,770,1,7,1,15300,0,13,3,0,70,2.02E+12,8800,96,variable
106,female head,apartment,1,560,0,4,1,15300,0,13,6,0,140,2.02E+12,15300,131,fixed
109,female head,apartment,2,710,1,6,1,15330,390,30,3,0,150,2.02E+12,14700,95,variable
110,female head,apartment,2,650,0,4,1,15400,0,13,3,0,120,2.02E+12,0,96,variable
109,female head,apartment,1,910,1,3,1,15400,0,22,6,0,130,2.02E+12,0,121,variable
108,male head,apartment,2,1000,0,3,0,15400,0,30,2,0,50,2.02E+12,0,94,variable
109,male head,apartment,1,980,0,3,0,15400,0,12,4,0,150,2019HU0230059,0,117,variable
122,male head,apartment,1,540,1,1,2,15400,0,24,4,0,0,2.02E+12,8400,125,variable
114,female head,trailer,1,1100,0,5,1,15400,0,23,6,0,210,2.02E+12,8600,122,variable
125,female head,apartment,1,560,0,4,1,15400,0,24,6,0,50,2.02E+12,11800,135,variable
112,married,house,2,2200,0,6,1,15400,0,21,1,0,100,2019HU1007041,12600,101,variable
128,female head,apartment,1,730,1,3,1,15400,0,13,6,0,100,2019HU0375109,13800,116,variable
118,female head,apartment,1,700,0,3,0,15400,0,13,6,0,0,2.02E+12,15400,132,fixed
118,female head,house,1,190,1,5,0,15400,0,6,6,0,0,2019HU1096010,15400,117,fixed
103,married,house,4,550,0,6,4,15401,0,11,1,2,200,2.02E+12,0,64,variable
125,female head,apartment,4,550,0,4,1,15500,0,35,3,3,370,2.02E+12,0,64,variable
114,male head,apartment,1,540,0,3,1,15500,0,15,4,0,90,2.02E+12,0,125,variable
114,female head,apartment,3,670,0,3,1,15500,0,19,3,0,180,2.02E+12,0,59,variable
105,female head,apartment,1,1100,0,4,1,15500,0,12,6,0,80,2.02E+12,0,125,variable
108,female head,apartment,2,1200,0,3,1,15500,0,20,7,0,0,2.02E+12,0,118,variable
106,female head,house,6,700,1,5,2,15500,0,17,3,4,220,2.02E+12,0,47,variable
109,female head,apartment,2,810,0,2,1,15500,0,16,7,0,0,2018HU0908728,0,93,variable
115,female head,apartment,2,1100,0,5,1,15500,0,20,3,1,180,2018HU1098607,0,89,variable
118,male head,apartment,1,550,0,1,0,15500,0,10,4,0,40,2019HU0554386,0,117,variable
108,male head,apartment,4,1400,0,7,1,15500,0,22,2,0,300,2019HU0554424,0,58,variable
100,female head,apartment,2,1000,1,5,2,15500,0,14,3,1,200,2019HU1402581,0,88,variable
109,female head,apartment,3,850,0,5,1,15500,0,35,3,0,0,2018HU0690616,2000,77,variable
123,male head,vehicle,4,410,0,5,6,15500,0,14,2,0,250,2.02E+12,8800,,variable
122,female head,trailer,2,150,1,4,0,15500,0,15,3,0,50,2.02E+12,10500,108,variable
115,male head,house,3,1700,0,9,4,15500,0,42,2,1,310,2018HU0509719,10500,61,variable
115,male head,house,1,400,0,4,1,15500,0,74,4,0,210,2.02E+12,12000,125,variable
104,male head,apartment,1,870,0,4,1,15500,0,12,4,0,90,2.02E+12,13800,136,variable
118,female head,apartment,1,290,0,2,0,15500,0,16,6,0,20,2.02E+12,15500,136,fixed
121,female head,house,2,500,0,5,0,15500,0,12,3,0,170,2.02E+12,15500,108,fixed
122,female head,house,1,500,0,7,1,15500,0,12,6,0,200,2.02E+12,15500,136,fixed
114,married,house,2,400,1,3,2,15500,0,39,1,0,100,2.02E+12,15500,97,fixed
116,female head,apartment,2,1400,0,6,1,15500,0,33,3,0,160,2.02E+12,15500,94,fixed
114,female head,apartment,1,770,1,6,1,15500,0,28,6,0,220,2018HU0486285,15500,119,fixed
115,female head,apartment,1,490,0,4,0,15500,0,27,6,0,30,2018HU0959141,15500,130,fixed
116,female head,apartment,1,610,1,1,1,15540,540,20,6,0,40,2.02E+12,0,126,variable
103,male head,apartment,4,650,1,4,1,15600,0,12,2,2,110,2.02E+12,0,81,variable
122,female head,apartment,3,700,1,6,1,15600,0,11,3,2,200,2.02E+12,0,81,variable
128,married,house,6,1000,1,5,1,15600,0,25,1,4,80,2.02E+12,0,49,variable
123,male head,house,1,500,0,6,2,15600,0,41,4,0,80,2.02E+12,0,125,variable
125,male head,apartment,1,530,0,1,1,15600,0,36,4,0,0,2.02E+12,0,125,variable
117,male head,apartment,1,450,0,4,2,15600,0,14,4,0,120,2.02E+12,0,124,variable
103,female head,trailer,5,750,0,4,2,15600,0,35,3,4,290,2.02E+12,0,54,variable
103,female head,apartment,2,700,0,3,0,15600,0,16,7,0,70,2.02E+12,0,63,variable
103,male head,house,6,1100,1,5,2,15600,0,38,2,3,120,2.02E+12,0,,variable
119,male head,apartment,1,480,0,1,0,15600,0,12,4,0,0,2.02E+12,0,123,variable
118,male head,house,1,400,0,2,0,15600,0,8,4,0,100,2.02E+12,0,124,variable
118,female head,apartment,4,550,0,3,0,15600,0,22,3,2,230,2018HU0231539,0,122,variable
106,married,house,5,550,0,4,2,15600,0,60,1,3,230,2018HU0839976,0,52,variable
103,male head,apartment,1,620,0,3,0,15600,0,15,4,0,170,2018HU1150342,0,120,variable
106,female head,apartment,4,830,1,3,1,15600,0,64,3,3,0,2019HU0065620,0,60,variable
122,female head,apartment,1,390,0,3,0,15600,0,28,6,0,10,2019HU0439385,0,128,variable
106,female head,apartment,4,1100,0,5,2,15600,0,49,3,2,300,2019HU0989946,0,60,variable
125,female head,apartment,3,700,1,4,1,15600,0,43,3,2,150,2019HU1349484,0,76,variable
105,male head,apartment,1,870,0,1,1,15600,0,10,4,0,34,2019HU0088276,13400,127,variable
110,female head,apartment,1,2900,0,5,0,15600,0,13,6,0,0,2.02E+12,14000,137,variable
118,male head,apartment,2,720,0,4,0,15600,0,17,2,0,0,2.02E+12,15600,109,fixed
110,male head,apartment,1,780,0,3,1,15600,0,15,4,0,100,2.02E+12,15600,136,fixed
103,female head,apartment,1,700,1,1,0,15600,0,12,6,0,140,2018HU0488135,15600,132,fixed
115,female head,apartment,1,800,1,4,1,15600,0,17,6,0,60,2018HU0494593,15600,130,fixed
117,female head,house,1,230,0,3,1,15600,0,36,6,0,0,2018HU0741671,15600,131,fixed
103,female head,apartment,1,450,0,4,0,15600,0,11,6,0,50,2018HU0921686,15600,130,fixed
104,female head,apartment,1,3100,0,2,0,15600,0,63,6,0,0,2019HU1310954,15600,128,fixed
104,female head,apartment,1,840,1,2,0,15640,0,11,6,0,200,2019HU0404291,9640,117,variable
125,male head,house,5,1000,0,8,2,15650,0,18,2,3,620,2.02E+12,10000,53,variable
122,female head,apartment,4,670,1,2,0,15700,0,27,3,2,160,2.02E+12,0,96,variable
109,married,house,2,800,0,4,1,15700,0,28,1,0,220,2018HU0608973,0,93,variable
109,female head,apartment,1,1100,0,4,1,15700,0,12,6,0,120,2019HU0261616,0,119,variable
104,male head,apartment,1,1300,0,2,1,15700,0,15,4,0,60,2019HU0840840,0,118,variable
123,female head,house,4,870,1,6,2,15700,0,15,3,2,260,2.02E+12,8500,65,variable
102,female head,apartment,1,250,0,3,1,15700,0,35,6,0,40,2.02E+12,13000,137,variable
122,male head,apartment,2,620,1,1,0,15700,0,40,5,0,4,2018HU0443085,15600,119,variable
104,female head,apartment,1,650,0,4,1,15700,0,25,6,0,150,2.02E+12,15700,137,fixed
125,married,apartment,6,750,1,6,2,15700,0,14,1,0,190,2.02E+12,15700,48,fixed
116,female head,apartment,1,880,1,3,1,15740,0,6,6,0,70,2019HU0988202,15700,130,variable
114,male head,apartment,2,740,1,4,1,15800,0,25,2,0,40,2.02E+12,0,99,variable
110,female head,apartment,3,1400,0,6,2,15800,0,17,3,1,180,2.02E+12,0,82,variable
123,female head,house,4,700,0,5,2,15800,0,16,3,2,200,2.02E+12,0,124,variable
121,married,house,3,900,0,6,2,15800,0,28,1,1,200,2018HU0543530,0,79,variable
115,female head,apartment,1,750,0,3,1,15800,0,22,6,0,80,2018HU1250386,0,122,variable
112,female head,house,1,1900,0,7,1,15800,0,8,6,0,510,2.02E+12,10800,124,variable
118,male head,apartment,1,650,1,4,0,15800,0,8,4,0,0,2.02E+12,11000,127,variable
109,female head,house,1,2900,0,5,0,15800,0,16,6,0,0,2018HU1187569,11800,131,variable
119,female head,apartment,1,520,0,3,0,15800,0,12,6,0,70,2.02E+12,12700,136,variable
102,female head,house,1,670,0,5,1,15800,0,12,6,0,100,2.02E+12,15800,139,fixed
116,female head,house,1,390,0,4,0,15800,0,19,6,0,90,2.02E+12,15800,139,fixed
116,male head,apartment,1,560,1,2,0,15820,20,11,4,0,70,2.02E+12,0,127,variable
118,married,house,6,650,0,8,0,15850,0,14,1,0,160,2.02E+12,15600,50,variable
104,married,apartment,2,540,0,2,1,15900,0,38,1,0,200,2.02E+12,0,100,variable
118,female head,apartment,1,1000,0,4,2,15900,0,18,6,0,140,2.02E+12,0,129,variable
122,male head,apartment,1,610,0,4,1,15900,0,14,4,0,90,2.02E+12,0,127,variable
113,female head,apartment,2,740,1,3,0,15900,0,22,3,1,40,2.02E+12,0,97,variable
123,married,house,6,800,1,6,3,15900,0,33,1,2,340,2.02E+12,0,47,variable
118,male head,house,8,700,1,4,1,15900,0,11,2,5,140,2.02E+12,0,44,variable
116,male head,apartment,1,560,0,2,1,15900,0,14,4,0,20,2018HU0041070,0,123,variable
114,male head,house,1,450,1,5,1,15900,0,25,4,0,340,2018HU0215708,11400,123,variable
119,female head,apartment,1,850,0,6,0,15900,0,18,6,0,240,2.02E+12,13500,136,variable
110,female head,apartment,1,270,0,4,0,15900,0,19,6,0,200,2.02E+12,15900,129,fixed
110,male head,house,1,1500,0,5,1,15900,0,14,4,0,270,2.02E+12,15900,138,fixed
109,female head,apartment,1,960,0,2,1,15900,0,13,6,0,0,2.02E+12,15900,126,fixed
121,female head,house,3,1100,1,5,0,15950,350,25,3,2,130,2.02E+12,0,82,variable
123,married,house,4,350,0,6,2,16000,0,11,1,2,90,2.02E+12,0,66,variable
118,female head,house,5,250,0,6,4,16000,0,22,3,3,150,2.02E+12,0,56,variable
102,male head,house,1,600,0,1,1,16000,0,13,4,0,200,2.02E+12,0,129,variable
119,male head,house,1,970,0,8,3,16000,0,10,4,0,240,2.02E+12,0,130,variable
117,female head,apartment,2,600,0,4,1,16000,0,8,3,1,120,2.02E+12,0,98,variable
104,male head,apartment,1,950,1,5,1,16000,0,15,4,0,90,2.02E+12,0,129,variable
119,female head,apartment,1,600,0,5,0,16000,0,19,6,0,150,2.02E+12,0,129,variable
125,male head,apartment,2,650,1,3,1,16000,0,13,2,1,0,2.02E+12,0,98,variable
116,female head,apartment,1,960,0,3,1,16000,0,49,6,0,50,2.02E+12,0,129,variable
108,male head,apartment,1,700,0,4,1,16000,0,15,4,0,50,2.02E+12,0,130,variable
109,male head,apartment,1,750,0,2,1,16000,0,11,4,0,30,2.02E+12,0,129,variable
107,female head,house,1,1300,0,5,1,16000,0,64,6,0,200,2.02E+12,0,129,variable
101,married,apartment,3,680,1,6,2,16000,0,19,1,1,180,2.02E+12,0,84,variable
104,female head,apartment,1,770,0,4,1,16000,0,12,6,0,130,2.02E+12,0,128,variable
102,male head,apartment,4,540,1,3,0,16000,0,55,2,2,150,2.02E+12,0,83,variable
113,female head,house,2,250,0,4,1,16000,0,15,3,0,170,2.02E+12,0,100,variable
118,male head,apartment,1,820,0,3,1,16000,0,8,4,0,110,2.02E+12,0,129,variable
106,female head,apartment,1,1400,0,2,0,16000,0,11,6,0,80,2.02E+12,0,129,variable
105,female head,apartment,3,670,1,4,1,16000,0,12,3,2,80,2.02E+12,0,83,variable
111,married,apartment,3,1100,0,4,2,16000,0,13,1,1,130,2.02E+12,0,83,variable
118,married,apartment,2,1000,0,4,1,16000,0,7,1,0,40,2.02E+12,0,100,variable
121,male head,house,2,700,0,2,2,16000,0,61,2,1,130,2.02E+12,0,97,variable
119,male head,house,1,490,0,2,2,16000,0,15,4,0,100,2.02E+12,0,129,variable
111,male head,house,1,250,0,3,1,16000,0,27,4,0,40,2.02E+12,0,129,variable
118,male head,apartment,1,1800,0,2,1,16000,0,16,4,0,50,2.02E+12,0,129,variable
115,male head,apartment,4,460,1,3,1,16000,0,16,2,3,60,2.02E+12,0,66,variable
118,married,apartment,2,810,0,3,1,16000,0,11,1,0,0,2.02E+12,0,100,variable
102,female head,apartment,2,960,0,3,1,16000,0,58,7,0,0,2.02E+12,0,62,variable
108,female head,house,3,1800,0,4,3,16000,0,19,7,0,80,2.02E+12,0,79,variable
103,male head,apartment,2,550,0,3,2,16000,0,33,2,1,200,2.02E+12,0,95,variable
118,male head,house,1,600,0,3,1,16000,0,23,4,0,180,2.02E+12,0,126,variable
120,male head,house,1,1000,0,5,1,16000,0,7,4,0,80,2.02E+12,0,136,variable
122,female head,apartment,1,670,0,2,0,16000,0,16,6,0,0,2.02E+12,0,126,variable
120,male head,trailer,5,750,1,4,1,16000,0,28,2,3,200,2.02E+12,0,65,variable
116,male head,apartment,1,370,0,3,0,16000,0,18,4,0,40,2.02E+12,0,126,variable
114,female head,apartment,1,570,1,4,1,16000,0,20,6,0,80,2.02E+12,0,127,variable
116,female head,apartment,2,490,1,3,1,16000,0,14,3,1,40,2.02E+12,0,96,variable
118,female head,house,2,500,0,3,2,16000,0,18,3,0,150,2.02E+12,0,98,variable
119,female head,trailer,2,550,0,4,3,16000,0,21,7,0,60,2018HU0036618,0,117,variable
121,married,house,2,650,0,4,2,16000,0,30,1,0,140,2018HU0175397,0,95,variable
116,female head,apartment,3,680,0,3,1,16000,0,15,3,2,70,2018HU0304782,0,80,variable
102,married,house,4,1400,1,5,2,16000,6000,13,1,2,230,2018HU0560015,0,63,variable
122,male head,apartment,2,780,0,4,1,16000,0,20,2,1,140,2018HU0573036,0,94,variable
110,female head,apartment,1,1600,0,5,2,16000,0,17,6,0,80,2018HU0673205,0,124,variable
116,female head,apartment,1,810,0,2,1,16000,0,14,6,0,0,2018HU0802249,0,122,variable
116,female head,apartment,2,520,0,3,1,16000,0,11,7,0,0,2018HU0806967,0,124,variable
118,female head,apartment,1,1500,0,3,1,16000,0,34,6,0,170,2018HU0814799,0,122,variable
107,married,apartment,4,1100,0,3,2,16000,0,17,1,2,180,2018HU1086033,0,64,variable
118,female head,house,3,280,0,5,1,16000,0,22,3,2,30,2018HU1096045,0,80,variable
108,male head,trailer,1,850,0,4,1,16000,0,55,4,0,0,2018HU1157540,0,125,variable
101,female head,apartment,3,790,1,4,1,16000,0,17,3,2,100,2018HU1178532,0,80,variable
108,female head,house,2,350,0,4,2,16000,0,12,3,0,150,2018HU1334911,0,95,variable
110,female head,apartment,1,350,0,1,1,16000,0,43,6,0,60,2018HU1393394,0,123,variable
103,male head,house,1,800,0,5,1,16000,0,34,4,0,180,2019HU0061480,0,121,variable
115,male head,apartment,1,670,1,3,0,16000,0,30,4,0,80,2019HU0121715,0,121,variable
120,female head,apartment,3,1500,0,4,2,16000,0,15,3,1,200,2019HU0169544,0,78,variable
109,married,apartment,2,950,0,2,0,16000,0,12,1,0,0,2019HU0348455,0,95,variable
118,male head,apartment,3,550,0,5,2,16000,0,14,2,0,0,2019HU0487115,0,94,variable
118,male head,house,1,480,0,3,0,16000,0,21,4,0,120,2019HU0510531,0,122,variable
118,female head,house,1,1400,0,4,1,16000,0,14,6,0,100,2019HU0558180,0,121,variable
108,female head,apartment,4,1000,1,3,1,16000,0,25,3,3,210,2019HU0677723,0,61,variable
119,married,house,2,830,0,6,1,16000,0,43,1,0,180,2019HU0752917,0,94,variable
123,female head,apartment,3,1300,1,3,0,16000,0,16,3,2,0,2019HU1009852,0,79,variable
109,married,house,2,900,0,4,1,16000,0,9,1,0,150,2019HU1013136,0,93,variable
120,female head,apartment,2,600,0,3,0,16000,0,37,7,0,70,2.02E+12,2800,106,variable
103,female head,apartment,2,300,0,4,1,16000,0,29,3,0,180,2.02E+12,5000,111,variable
110,male head,apartment,1,780,0,2,0,16000,0,67,4,0,70,2019HU0424357,8200,121,variable
103,married,apartment,5,1000,1,4,2,16000,0,14,1,3,170,2019HU1275094,9600,52,variable
102,female head,apartment,1,400,0,4,1,16000,0,12,6,0,60,2.02E+12,10800,137,variable
116,female head,apartment,1,780,1,4,1,16000,0,10,6,0,60,2019HU0669360,14700,132,variable
110,female head,trailer,1,810,0,2,0,16000,0,35,6,0,0,2.02E+12,16000,137,fixed
102,female head,apartment,1,1500,0,3,0,16000,0,28,6,0,0,2.02E+12,16000,137,fixed
116,female head,house,1,670,0,3,1,16000,0,40,6,0,110,2.02E+12,16000,127,fixed
125,male head,house,1,1000,0,5,0,16000,0,25,4,0,160,2018HU0031605,16000,122,fixed
122,male head,house,1,700,0,5,1,16000,0,8,4,0,140,2018HU1393873,16000,134,fixed
110,female head,apartment,1,1200,0,3,1,16080,0,14,6,0,0,2018HU0203403,15400,134,variable
101,male head,house,2,1200,0,4,1,16100,0,8,5,0,0,2.02E+12,0,121,variable
118,male head,apartment,3,980,1,3,1,16100,0,54,2,0,150,2.02E+12,0,98,variable
